#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
-3,6,100.774789
0,6,100.781089
17,15,100.804513
8,11,100.819968
1,3,100.823895
-33,2,100.825713
2,4,100.833667
-57,6,100.840363
6,8,100.853239
6,21,100.880622
-6,1,100.881447
3,7,100.890033
-5,1,100.890852
4,8,100.900302
12,23,100.923023
9,11,100.933702
-5,2,100.93802
-26,5,100.941647
14,14,100.954559
9,14,100.970467
-4,10,100.980623
-3,4,100.983469
-35,12,100.998264
-3,5,101.008987
16,21,101.042122
-1,2,101.045777
10,12,101.064255
-7,6,101.07697
-6,10,102.370115
11,11,102.381195
21,19,102.400692
-32,3,102.402931
2,2,102.407262
11,40,102.447026
7,8,102.45276
-3,5,102.459238
-35,6,102.463553
-24,15,102.480116
-26,4,102.483088
6,12,102.497375
2,6,102.501697
11,17,102.51951
-30,10,102.529494
7,12,102.540918
-37,2,102.542402
7,17,102.560179
-22,13,102.57241
-5,2,102.573891
-1,3,102.578909
10,21,102.599698
-3,3,102.601966
63,9,102.611507
-6,1,102.61237
6,6,102.619518
-5,3,102.621735
25,29,102.650912
-4,5,102.654516
36,2,102.659182
-25,8,102.664965
77,16,102.682084
-8,4,102.685199
36,31,102.719215
3,5,102.723742
6,11,102.73493
-48,14,102.752908
3,6,102.758041
-1,3,102.760326
-2,22,102.787701
-36,5,102.791479
7,7,102.800651
2,4,102.803626
58,32,102.842438
34,39,102.891512
4,4,102.898097
-15,9,102.908932
-1,4,102.912857
-3,9,102.922952
-5,3,102.925253
-1,10,102.936505
-2,4,102.942677
-32,14,102.956144
-5,3,102.958336
16,12,102.972801
58,43,103.015414
15,12,103.027535
-3,2,103.029191
-4,2,103.030739
-39,1,103.034545
23,15,103.048469
3,5,103.054951
2,10,103.065102
14,17,103.081079
-3,2,103.082573
0,2,103.087183
-30,3,103.090087
0,7,103.099334
-21,12,103.112129
0,8,103.122587
-29,5,103.126595
4,10,103.138456
18,34,103.175039
-34,1,103.175889
44,9,103.186084
11,15,103.201972
2,9,103.211735
11,10,103.221862
-37,3,103.224119
-7,3,103.229157
-35,7,103.234204
19,16,103.251396
6,8,103.260437
2,15,103.274139
-38,2,103.275618
-26,8,103.284305
3,4,103.290145
-5,1,103.290988
-2,2,103.292522
-6,1,103.293282
-2,7,103.301135
-5,2,103.302614
-6,1,103.303413
23,21,103.324225
-26,5,103.330616
-4,3,103.332922
44,48,103.38112
60,8,103.3869
-33,2,103.391272
-3,1,103.392134
21,23,103.41443
-2,2,103.415986
2,5,103.422417
5,33,103.454182
7,10,103.464158
10,10,103.474059
2,9,103.483348
1,2,103.484867
4,30,103.515065
19,43,103.557149
42,39,103.596163
-40,8,103.604682
-2,2,103.60616
10,12,103.620688
-27,7,103.625887
-1,5,103.632478
-30,7,103.637497
0,7,103.645396
13,18,103.664476
24,17,103.682769
-5,3,103.685021
-3,2,103.686524
-3,3,103.688754
39,27,103.716657
2,3,103.719022
-28,6,103.72716
1,9,103.73674
-1,5,103.740352
-10,23,103.765603
16,13,103.777771
-4,4,103.78073
-34,10,103.790738
12,23,103.815726
-2,7,103.820798
-2,10,103.831135
-1,3,103.836351
-2,4,103.839257
-4,2,103.840729
48,46,103.888142
3,9,103.897498
-30,6,103.901786
11,12,103.916252
6,8,103.9221
-19,12,103.936554
24,29,103.96589
-3,3,103.968111
27,28,103.996626
-3,6,104.001038
55,12,104.012502
1,4,104.01827
50,17,104.036042
-35,8,104.041742
35,9,104.051009
-2,3,104.05606
10,9,104.062579
26,19,104.081984
-3,9,104.091389
-39,1,104.092231
7,10,104.10219
130,29,104.131262
-9,11,104.142081
-4,2,104.146405
19,24,104.169254
93,53,104.221339
-6,9,104.230727
3,10,104.240871
-4,2,104.242359
23,20,104.262498
10,14,104.278253
30,34,104.310817
-2,9,104.320094
-4,2,104.321578
5,5,104.328074
-2,2,104.329597
4,5,104.333227
-32,11,104.346854
10,7,104.35192
43,44,104.397563
22,19,104.416672
-6,1,104.417484
-4,2,104.418957
16,12,104.430516
1,13,104.442688
0,5,104.449147
-25,13,104.461169
-9,37,105.662893
13,34,105.69637
39,14,105.712483
2,4,105.715461
52,38,105.755507
-525,7,105.763404
0,5,105.767071
-5,1,105.767881
59,19,105.787249
9,21,105.808117
-1,4,105.814004
15,55,105.867919
18,26,105.895172
17,13,105.907585
-4,2,105.909128
16,23,105.931285
-6,15,105.947882
17,14,105.960655
-32,3,105.965726
-6,1,105.966515
-33,2,105.967989
1,6,105.975122
70,28,106.001225
-5,1,106.002017
74,34,106.037778
1,10,106.047821
1,7,106.0557
54,15,106.069309
7,10,106.079392
8,19,106.098748
44,7,106.1067
2,9,106.11619
-4,2,106.117744
10,10,106.127788
-4,2,106.129275
0,5,106.132874
-3,3,106.137976
3,7,106.142996
4,11,106.15655
9,8,106.162277
33,40,106.202183
2,10,106.212256
-3,1,106.213076
11,17,106.230871
-1,6,106.238027
-4,6,106.242302
61,7,106.250142
-5,17,106.267922
41,13,106.2801
5,10,106.290109
4,6,106.297334
5,14,106.310133
-6,1,106.310952
26,15,106.327288
9,10,106.33734
11,17,106.35234
17,14,106.368182
-34,2,106.369669
24,25,106.393175
-2,2,106.39752
-3,1,106.398306
-34,15,106.411873
-20,11,106.422623
-1,3,106.427688
-49,7,106.432701
22,23,106.457762
15,16,106.471996
-5,1,106.472783
-34,1,106.473541
16,20,106.49346
-1,3,106.498633
-6,6,106.502905
-33,4,106.508718
4,13,106.520887
3,7,106.529456
38,7,106.536253
6,4,106.542838
-30,14,106.556692
11,11,106.567486
-5,4,106.57338
1,6,106.577707
-24,14,106.593701
-4,2,106.595189
45,15,106.608862
-2,6,106.616197
10,18,106.635371
7,4,106.63835
-6,3,106.643417
2,7,106.648548
7,4,106.654352
-3,1,106.655138
2,8,106.663743
123,31,106.694485
17,20,106.714879
-5,6,106.719689
-34,1,106.720788
-6,9,106.731137
-6,9,106.740659
5,8,106.749311
8,20,106.769426
-13,29,106.798912
14,16,106.813179
-3,1,106.816848
-2,3,106.819093
-3,1,106.819904
-5,1,106.820664
12,21,106.842469
0,3,106.844719
3,7,106.852684
10,12,106.864437
-30,6,106.871888
35,20,106.892061
-61,1,106.892874
-521,12,106.904498
-1,3,106.909612
0,7,106.914717
-13,16,106.932119
-2,2,106.933634
-3,1,106.93445
1,4,106.940317
1,11,106.951056
-5,9,106.960496
0,6,106.964875
14,17,106.982795
25,32,107.014496
-6,1,107.01528
-4,2,107.01678
-2,4,107.02264
5,9,107.031946
7,7,107.036952
-31,4,107.042826
155,33,107.075031
89,41,107.116202
32,10,107.12644
2,7,107.134531
-7,8,107.143122
12,6,107.147436
12,21,107.168128
-5,1,107.168918
1,6,107.1761
9,16,107.19328
-513,12,107.204796
1,8,107.213555
4,8,107.219354
7,7,107.22729
-5,1,107.228082
4,7,107.235978
3,13,107.248114
52,29,107.27726
49,30,107.307311
33,37,107.34982
20,21,107.370885
-3,3,107.373176
9,14,107.389331
5,7,107.394393
6,7,107.40233
7,11,107.413139
-4,4,107.418903
18,51,107.470172
5,6,107.474574
-3,1,107.475343
-5,2,107.479729
-6,1,107.480556
-3,1,107.481328
-2,2,107.482793
-28,10,107.492963
2,10,107.50351
64,11,107.514485
1,6,107.522035
3,9,107.531457
-4,2,107.533079
-2,2,107.534541
4,15,107.548488
-5,2,107.552947
-3,1,107.553735
-34,3,107.556016
4,12,107.567542
-30,7,107.575502
14,11,107.586302
-1,3,107.588515
51,17,107.60644
-38,4,107.609317
33,22,107.63378
14,16,107.648154
11,19,107.668609
-21,8,107.678579
-2,2,107.680641
-5,32,107.714598
-5,1,107.715438
-5,5,108.931151
-6,10,108.942763
2,8,108.951603
5,8,108.960268
20,17,108.976257
-33,6,108.98359
-525,10,108.993803
-4,3,108.995991
0,5,109.002725
0,3,109.00496
-6,9,109.015879
52,38,109.056686
9,7,109.061718
0,35,109.09841
32,46,109.142246
2,4,109.148037
9,11,109.158868
42,39,109.197654
-40,9,109.206906
-526,7,109.211865
23,17,109.229515
7,23,109.251487
3,12,109.265925
34,17,109.280793
-1,6,109.288039
-29,4,109.290887
15,10,109.300875
-3,5,109.307345
-5,2,109.308862
-5,1,109.309616
4,11,109.320423
-4,6,109.327679
-51,17,109.34583
-3,1,109.346629
0,2,109.348143
14,16,109.362341
2,5,109.368861
-9,3,109.371015
4,7,109.378852
-5,1,109.379626
-5,2,109.381116
3,6,109.388246
36,22,109.409575
10,13,109.421751
-1,3,109.426812
5,14,109.439551
-3,2,109.441027
53,5,109.447491
6,13,109.459553
35,12,109.470947
11,30,109.500852
-4,3,109.505878
-32,9,109.512342
-3,25,109.538435
10,11,109.549156
-39,1,109.549931
8,6,109.557054
-2,7,109.56199
-31,6,109.569155
-30,5,109.575756
-5,2,109.577257
-1,9,109.586536
4,12,109.597919
-34,1,109.598693
-8,2,109.600152
1,4,109.605895
-21,19,109.622171
26,39,109.661079
13,14,109.676967
-7,2,109.678443
-3,1,109.679198
-1,3,109.681328
-20,16,109.698317
3,7,109.706148
-3,2,109.707653
-57,4,109.710518
67,7,109.71835
5,13,109.731997
0,4,109.737867
5,8,109.743618
-5,1,109.748293
-3,1,109.749134
8,13,109.762779
47,26,109.795963
-2,2,109.798249
-4,11,109.809712
-34,1,109.810489
6,8,109.820383
19,12,109.83325
-2,2,109.835734
-2,5,109.843224
11,10,109.854377
-9,5,109.857991
22,24,109.884825
-2,5,109.888495
8,3,109.890672
4,9,109.899972
-1,5,109.906455
-5,3,109.908616
-6,1,109.909414
0,3,109.911696
-26,10,109.921736
2,10,109.931866
-3,1,109.937023
-30,7,109.942035
-2,3,109.947269
6,8,109.953032
-1,27,109.981327
-17,27,110.009864
78,19,110.029377
63,8,110.035051
-5,5,110.041588
4,15,110.055091
11,12,110.069488
0,4,110.072392
5,5,110.078951
-4,4,110.081996
9,14,110.094921
-5,1,110.095731
2,14,110.111499
29,18,110.129939
2,9,110.139198
-16,16,110.153426
62,7,110.16131
-28,7,110.169279
45,36,110.203286
55,2,110.204801
-5,4,110.210635
20,24,110.233336
-4,5,110.239794
-34,16,110.254125
-26,14,110.269825
29,22,110.291112
1,11,110.301897
-15,22,110.323186
6,16,110.340406
-5,4,110.343245
-1,9,110.352592
10,13,110.364652
-2,4,110.370473
5,4,110.373353
-2,5,110.379792
3,8,110.385486
-5,3,110.390652
-5,1,110.391458
-22,11,110.402265
-4,2,110.403733
27,44,110.449943
8,13,110.462191
0,10,110.472238
8,7,110.480067
57,5,110.483618
-2,4,110.48648
13,13,110.501561
3,6,110.505926
9,9,110.515317
8,11,110.525979
-1,3,110.53106
-2,5,110.534634
-3,1,110.535394
-6,1,110.536154
6,10,110.546185
7,11,110.556885
27,11,110.570395
4,3,110.572633
-39,3,110.57478
-26,8,110.583423
80,28,110.61218
7,16,110.626302
-3,1,110.627077
8,10,110.637284
-29,15,110.653677
0,7,110.661533
-38,6,110.665778
-6,8,110.674438
59,44,110.717346
15,32,110.753163
-3,1,110.753982
-1,3,110.756209
-6,1,110.756968
-5,4,110.762762
17,14,110.77568
5,12,110.787034
3,4,110.792833
0,19,110.809234
-17,16,110.827233
13,18,110.846078
33,32,110.877273
2,7,110.885264
-31,11,110.895912
77,26,110.920052
9,16,110.937967
5,10,110.948807
-15,13,110.961152
-5,1,110.961931
126,27,110.989865
3,12,111.007264
15,18,112.142209
7,9,112.151948
1,4,112.154826
-23,18,112.173517
-1,2,112.174985
-1,4,112.180866
25,21,112.201581
32,29,112.230656
73,11,112.241562
-5,1,112.242339
98,37,112.280118
-34,1,112.280934
-34,1,112.28172
10,42,112.32276
7,7,112.330602
-5,2,112.332125
18,12,112.34345
22,25,112.369801
3,7,112.374766
6,7,112.382694
10,37,112.42028
97,40,112.459895
2,11,112.470487
-4,3,112.472647
12,12,112.483992
15,15,112.500414
-4,2,112.501883
-3,1,112.502637
4,9,112.511915
4,12,112.523411
6,5,112.530094
0,3,112.532382
19,13,112.544512
9,22,112.568714
-1,11,112.579352
-23,13,112.591464
-5,3,112.593705
-2,4,112.599497
0,4,112.602399
12,10,112.612393
21,17,112.630342
14,20,112.650151
-30,13,112.66218
3,6,112.669419
6,8,112.677958
-4,6,112.68225
11,5,112.688839
19,24,112.71172
11,9,112.722199
9,8,112.731426
20,35,112.765005
2,11,112.775731
-39,1,112.776554
3,10,112.786605
-4,3,112.791733
6,7,112.796721
10,17,112.814556
35,49,112.873125
-4,5,112.880129
28,31,112.911211
-6,3,112.913708
-2,3,112.915947
6,6,112.923316
66,36,112.957904
27,24,112.983901
9,16,112.99944
-36,7,113.007867
-24,15,113.024462
12,15,113.038022
25,23,113.060429
82,19,113.079602
6,12,113.09426
1,2,113.095852
-2,3,113.098033
9,13,113.110103
5,8,113.118741
3,8,113.129404
1,9,113.138918
-3,4,113.141811
-3,1,113.142566
-4,5,113.150155
-8,2,113.151796
-31,3,113.1551
114,35,113.203037
-7,2,113.204629
-29,3,113.206903
19,18,113.225995
-4,2,113.227461
-2,2,113.231924
-5,1,113.232729
12,12,113.244162
-31,4,113.247044
58,40,113.2868
-3,1,113.287579
-5,2,113.292129
-26,4,113.295001
25,28,113.323511
4,6,113.327978
-34,1,113.328755
2,10,113.338752
9,13,113.353874
8,10,113.363871
-3,12,113.37643
2,18,113.395159
-3,1,113.395988
-2,4,113.398846
6,9,113.408206
-6,1,113.408979
-2,2,113.410418
-3,3,113.415624
-1,3,113.417821
20,17,113.435955
-5,1,113.436741
16,18,113.455294
16,13,113.467443
2,6,113.474673
6,6,113.478959
-6,1,113.47972
-49,18,113.498114
-2,2,113.49961
5,3,113.50469
12,9,113.511052
-29,6,113.518341
4,14,113.531141
-34,3,113.53629
2,9,113.545675
-3,1,113.546455
8,12,113.557906
15,13,113.569952
-5,1,113.570728
-5,1,113.571484
18,35,113.607902
0,5,113.611473
-5,5,113.618019
9,16,113.635241
-6,2,113.636785
7,18,113.655209
-4,4,113.658108
-1,2,113.659559
12,13,113.671609
10,32,113.706027
0,4,113.70903
-3,5,113.715643
6,8,113.722565
8,11,113.733885
5,28,113.762777
-5,1,113.763556
0,2,113.768036
10,8,113.773747
-38,10,113.783897
-6,8,113.792565
58,9,113.802034
14,8,113.810784
39,12,113.82228
-5,16,113.839527
-12,29,113.869467
-4,2,113.870966
-4,6,113.875231
34,25,113.902156
-4,3,113.904385
19,13,113.916572
5,16,113.933898
29,24,113.956678
1,5,113.963236
1,15,113.97693
-3,1,113.98067
13,19,113.997185
60,7,114.00531
-6,2,114.006908
9,14,114.023293
-2,4,114.026165
40,8,114.034858
1,15,114.048462
-33,3,114.053734
-3,4,114.05663
-25,8,114.065289
-3,7,114.073183
-3,1,114.073961
2,10,114.084011
-2,2,114.085521
-2,4,114.08835
5,6,114.095558
-7,8,114.104212
-6,1,114.105021
2,4,114.107876
-1,7,114.115727
-5,1,114.116547
15,8,114.125239
2,10,114.135232
12,13,114.147506
-3,1,114.148322
2,7,114.156238
16,21,114.176834
-3,5,114.183313
-34,1,114.184131
7,9,114.193391
10,15,114.207823
-34,3,114.210048
-49,9,114.219541
4,10,114.229871
8,7,115.389702
-6,5,115.393472
87,18,115.412538
-20,16,115.429974
0,9,115.439322
33,26,115.464423
-5,2,115.468884
-2,2,115.470383
83,21,115.491081
-5,1,115.491933
2,10,115.502263
-2,9,115.511719
7,12,115.523326
-5,2,115.524877
-5,2,115.526358
-5,2,115.530847
2,5,115.534465
-5,1,115.535222
10,11,115.546088
2,10,115.556224
1,4,115.56227
6,12,115.57382
-39,9,115.583223
25,19,115.602502
7,11,115.613266
2,4,115.616181
-33,2,115.617619
3,5,115.624265
-3,1,115.625046
34,44,115.667918
-2,13,115.683017
8,9,115.69236
-38,2,115.693835
-28,9,115.703135
8,15,115.716675
1,4,115.723804
-6,1,115.724631
0,5,115.728244
-8,3,115.733649
4,9,115.740052
-9,15,115.756842
3,10,115.766911
-5,1,115.767722
-2,5,115.774359
2,4,115.777281
-2,4,115.78017
-14,20,115.800216
-32,5,115.806823
-2,6,115.811121
5,14,115.827374
18,23,115.850777
27,26,115.879135
-7,7,115.884203
-2,3,115.889429
16,18,115.908143
18,24,115.93165
-2,5,115.935266
-2,2,115.939819
1,8,115.945495
-4,2,115.949965
-2,5,115.953579
28,20,115.973523
-4,8,115.982118
-4,11,115.99287
25,37,116.030978
-5,2,116.032529
6,8,116.041111
75,33,116.073098
20,19,116.092473
19,22,116.113761
-3,10,116.123854
-3,10,116.133939
43,44,116.179561
-5,3,116.181763
1,4,116.184632
-5,1,116.185387
-2,2,116.18976
-2,3,116.191995
-6,1,116.192755
-6,1,116.193506
-34,1,116.194261
-6,4,116.200061
-7,9,116.206439
-2,2,116.210919
0,6,116.215199
-3,1,116.216005
0,5,116.222488
-5,1,116.223263
-9,3,116.22549
60,6,116.232748
-7,6,116.23702
-6,1,116.240771
1,3,116.242957
85,18,116.261805
27,31,116.292353
70,22,116.316225
15,13,116.33007
4,9,116.3398
-29,9,116.349271
0,6,116.356601
-37,2,116.358072
-2,5,116.361668
11,15,116.378258
-2,9,116.387643
6,8,116.396241
9,22,116.41783
14,15,116.431624
10,8,116.440348
-5,1,116.441128
-27,10,116.451154
1,5,116.457695
5,8,116.463344
-5,3,116.468488
22,12,116.479931
33,9,116.489228
66,33,116.521458
-4,7,116.529512
-1,2,116.530973
13,10,116.541305
6,10,116.551383
-6,4,116.554285
32,10,116.564417
-6,3,116.569617
7,11,116.580418
8,6,116.584738
47,24,116.610567
-33,2,116.612042
9,15,116.628598
-4,4,116.631558
-6,3,116.633754
22,18,116.65242
-2,5,116.658907
-8,10,116.668929
3,8,116.67468
-1,3,116.679861
71,17,116.69471
2,12,116.709095
20,23,116.733044
7,13,116.745302
-25,8,116.754005
-5,7,116.762107
-2,8,116.767827
43,39,116.806887
5,10,116.816964
-11,23,116.842628
10,16,116.857217
33,26,116.884322
-7,2,116.885779
-22,10,116.895834
7,7,116.903684
23,19,116.92307
-5,1,116.924035
-12,16,116.938586
5,6,116.946019
-6,3,116.948243
-2,9,116.957618
7,10,116.967734
-3,2,116.969332
20,23,116.994888
66,36,117.029762
6,8,117.038567
24,42,117.080309
5,10,117.090332
-2,4,117.096562
-2,10,117.106585
0,11,117.117263
-526,11,117.128374
-3,3,117.130569
77,45,117.176991
17,26,117.201197
-6,1,117.201974
1,6,117.209166
1,7,117.217068
10,20,117.237183
105,24,117.259917
-3,1,117.260691
-3,3,117.262913
4,7,117.270851
4,11,117.281704
-6,4,117.287511
-4,3,117.289712
6,12,117.30108
48,33,117.333145
-4,4,117.339143
-6,1,117.339929
64,24,117.367321
-5,1,117.368187
-7,2,117.372726
3,8,117.378465
1,3,117.383657
13,16,117.397949
-40,3,117.403177
-4,36,117.437519
-2,4,117.443503
-9,7,117.448536
-3,2,117.453038
-3,3,117.455379
-61,1,117.456196
3,9,117.465551
-4,3,117.467701
57,50,118.68054
1,3,118.682941
0,5,118.68992
28,24,118.713157
-5,1,118.713974
49,20,118.735507
-3,3,118.740806
-7,6,118.745101
34,41,118.786159
55,18,118.804789
-3,2,118.806325
7,13,118.821409
10,19,118.841116
-3,1,118.8419
64,24,118.864779
7,20,118.884932
4,9,118.894299
46,8,118.902961
1,12,118.91441
26,27,118.942659
20,17,118.957737
-3,2,118.962262
24,19,118.981503
-6,1,118.982307
6,13,118.994504
-4,3,118.996723
99,85,119.083313
-2,2,119.084883
6,7,119.092847
-30,4,119.095733
4,15,119.112276
2,8,119.118004
-33,2,119.122565
-3,3,119.124757
-21,13,119.136942
58,21,119.157633
-4,2,119.159094
-54,17,119.176945
-26,5,119.183451
21,20,119.203434
13,13,119.215675
99,29,119.244949
-3,3,119.247112
-62,4,119.252945
6,12,119.264408
13,14,119.277177
-3,1,119.277953
39,40,119.317929
-22,17,119.335872
0,7,119.343853
-34,1,119.344645
-4,9,119.354218
2,8,119.359879
21,13,119.375158
-10,13,119.387399
9,9,119.396787
-61,1,119.397595
10,13,119.409686
-3,7,119.417665
60,10,119.427667
0,7,119.435779
5,8,119.444429
15,19,119.460847
-5,4,119.466676
17,18,119.485346
-3,12,119.497286
-6,8,119.506109
-34,1,119.506927
33,5,119.510515
14,21,119.531275
1,5,119.53949
7,7,119.548963
-62,2,119.550675
-6,1,119.551553
49,7,119.560335
-3,1,119.561144
21,17,119.576276
0,6,119.583599
13,10,119.593729
-34,1,119.594502
58,3,119.596683
27,30,119.626566
5,6,119.634008
9,8,119.642712
11,10,119.652755
-26,12,119.664317
5,16,119.681469
7,19,119.697723
32,25,119.725638
-2,5,119.729342
21,30,119.759917
-4,5,119.766506
4,3,119.768725
187,24,119.794591
-22,9,119.804086
5,7,119.809159
8,11,119.819884
50,50,119.870178
-3,6,119.877501
-7,2,119.879003
48,38,119.917667
-3,1,119.918481
70,35,119.956187
7,13,119.968449
3,14,119.981553
2,17,120.000222
-1,3,120.002519
-4,4,120.008538
71,20,120.028709
32,29,120.058396
12,10,120.068528
-30,4,120.071441
13,26,120.098751
7,6,120.103137
-23,16,120.120603
-2,3,120.122761
-15,12,120.134296
-5,3,120.1396
-8,4,120.142532
-5,2,120.143994
11,14,120.159853
-28,6,120.164135
-25,12,120.175503
57,44,120.221445
-2,3,120.22363
-3,6,120.230925
15,20,120.251018
-3,1,120.251841
-5,1,120.252601
6,17,120.270448
-4,2,120.271956
4,4,120.274772
7,5,120.281315
-2,2,120.282775
12,12,120.294453
2,9,120.304269
10,9,120.313829
-4,5,120.317481
68,5,120.324121
6,8,120.332825
-3,2,120.334334
-39,1,120.335096
9,6,120.342355
-29,6,120.346618
61,9,120.356014
21,25,120.3825
-24,20,120.402639
-2,2,120.404192
13,12,120.415631
19,28,120.44433
-6,1,120.445107
-31,7,120.453035
3,10,120.46307
-4,4,120.465947
11,21,120.486742
-2,4,120.489598
7,17,120.507609
4,9,120.51706
59,11,120.527874
65,16,120.545325
-1,4,120.548227
13,17,120.566666
-2,2,120.568238
-1,4,120.571055
-2,2,120.575532
14,14,120.588493
-35,7,120.596514
1,7,120.601458
4,18,120.620141
0,7,120.62817
0,4,120.631009
-8,6,120.63837
-5,1,120.639144
-1,13,120.651597
-12,17,120.669733
13,16,120.687015
-4,3,120.689181
-7,3,120.691301
14,20,121.860686
10,23,121.886482
-4,3,121.888739
-30,5,121.892343
-23,28,121.921469
75,68,121.994787
-6,1,121.995604
-6,1,121.996456
-34,1,121.997213
0,4,122.003182
-2,3,122.005386
21,12,122.016856
-2,2,122.018324
22,18,122.036997
-5,6,122.044299
-4,9,122.053651
16,30,122.083992
44,34,122.117099
-3,1,122.117913
-52,4,122.123743
-2,2,122.125249
11,12,122.136649
-13,15,122.150075
7,14,122.166096
4,13,122.178262
-20,8,122.186924
19,17,122.204901
68,42,122.246262
-6,9,122.255775
42,43,122.298024
60,34,122.330873
-10,16,122.348324
-36,5,122.354951
116,66,122.419464
16,9,122.428982
5,12,122.440462
7,21,122.461316
0,9,122.470717
-3,1,122.471491
-37,22,122.495956
74,18,122.51174
13,14,122.52766
2,11,122.538435
2,10,122.548528
19,22,122.570113
1,5,122.576836
-5,2,122.57834
11,10,122.588625
1,10,122.598781
15,11,122.609637
-4,2,122.611099
-5,3,122.613226
-59,8,122.621865
10,13,122.633985
-4,2,122.638537
5,20,122.658692
-1,4,122.661564
19,23,122.683987
11,24,122.710497
6,17,122.726702
57,54,122.783608
5,8,122.792334
0,4,122.795171
0,5,122.801763
-3,1,122.802554
-5,1,122.803312
-34,1,122.804105
64,19,122.826797
-1,9,122.837093
6,10,122.847969
-33,2,122.850262
-2,4,122.854928
-1,3,122.862318
-5,1,122.863906
-5,4,122.867241
3,17,122.888038
0,10,122.89826
11,11,122.90923
11,16,122.923935
14,21,122.94804
4,8,122.953779
-20,11,122.964954
-3,1,122.968888
20,21,122.989787
-7,5,122.993461
-11,10,123.003679
-1,3,123.005881
20,13,123.021454
-5,1,123.02227
-5,1,123.023026
-1,7,123.031064
5,6,123.035367
-5,2,123.036862
8,7,123.044902
1,6,123.052284
-2,5,123.055899
2,9,123.065458
-21,7,123.073524
67,19,123.093075
-1,4,123.095967
73,11,123.106843
-1,4,123.112902
-1,12,123.12449
5,7,123.132468
-5,2,123.133964
7,8,123.142624
0,2,123.144133
41,36,123.178575
7,7,123.186656
13,20,123.206795
6,13,123.219012
7,13,123.23438
-29,19,123.253741
4,13,123.266189
-39,17,123.284223
10,18,123.299855
-5,2,123.304438
-28,10,123.314579
-45,13,123.326787
9,14,123.33971
12,13,123.355083
21,20,123.375329
-38,4,123.378303
7,11,123.389174
28,20,123.409269
-4,5,123.415914
13,21,123.436874
3,10,123.446924
-5,1,123.447703
36,36,123.48214
-2,14,123.49813
-3,1,123.498909
-3,3,123.501093
-8,3,123.503228
-5,1,123.507334
-531,6,123.511638
-3,14,123.528231
2,8,123.533995
10,10,123.54426
25,27,123.572341
-34,1,123.573117
-4,5,123.579693
-4,2,123.581171
-4,3,123.583298
-6,1,123.58409
6,13,123.59937
-1,4,123.602305
55,24,123.625067
-5,4,123.63098
-33,6,123.635253
-2,2,123.639701
-4,5,123.643307
29,28,123.672258
-1,8,123.680946
2,14,123.694033
27,28,123.723878
-29,10,123.734336
0,13,123.746631
1,2,123.74815
88,40,123.788815
21,13,123.804048
-34,4,123.806938
-1,3,123.809115
-6,8,123.817788
-40,3,123.819948
9,13,123.83537
-6,4,123.838287
0,8,123.846939
16,29,123.877083
14,11,123.887915
5,9,123.897244
-34,1,123.898019
-7,4,123.900852
-21,32,123.93541
-6,4,123.939652
16,19,123.960898
0,11,125.130228
-8,2,125.131924
-4,2,125.133551
-3,1,125.134375
-3,3,125.1398
0,7,125.144756
2,7,125.152781
48,10,125.16287
8,18,125.18178
25,24,125.204672
-28,8,125.213418
8,19,125.232904
-2,7,125.240921
44,22,125.262389
-534,1,125.263186
-4,2,125.264676
89,60,125.325141
1,6,125.3325
-4,2,125.333967
-5,1,125.334723
0,6,125.342105
-4,3,125.344314
16,16,125.361652
-3,3,125.363857
-33,4,125.366729
5,15,125.383546
1,5,125.387094
30,35,125.42368
99,11,125.43463
-2,3,125.436836
-2,2,125.438317
-2,3,125.443549
8,6,125.447825
-21,8,125.456555
-1,3,125.458777
-3,1,125.462644
-57,9,125.469154
10,12,125.483713
-31,6,125.488055
-9,3,125.493216
7,11,125.504027
7,14,125.516872
-36,4,125.519709
-7,9,125.529105
2,10,125.539212
-5,4,125.545306
-18,14,125.558278
-28,5,125.564888
16,24,125.58806
-3,1,125.588837
-5,1,125.589588
15,13,125.604803
18,28,125.630546
31,27,125.65853
22,32,125.690008
-29,5,125.696611
106,13,125.708837
-6,5,125.715491
2,4,125.718408
7,7,125.727869
-3,4,125.730872
36,6,125.738307
0,6,125.742601
36,33,125.778145
-12,30,125.808558
-2,16,125.822877
-1,3,125.825125
27,22,125.849698
43,10,125.859842
-9,19,125.879959
3,8,125.885655
3,3,125.890957
1,4,125.893824
-7,2,125.89527
8,34,125.931278
-4,2,125.932766
-4,3,125.934896
-42,3,125.937256
14,25,125.964733
3,9,125.974449
43,16,125.988876
25,28,126.017853
0,7,126.026037
-4,4,126.028915
-17,20,126.051194
-5,9,126.060868
-5,1,126.061648
-2,2,126.066369
-2,4,126.070104
-3,3,126.072573
-7,15,126.09271
1,8,126.102661
42,8,126.110758
-6,4,126.119854
-1,8,126.129637
31,33,126.163012
1,9,126.172803
-1,3,126.174997
-6,7,126.183283
-4,2,126.184793
-8,5,126.188349
4,7,126.196448
-3,2,126.197913
0,9,126.207399
15,13,126.222938
-5,1,126.223739
-7,8,126.22939
-5,1,126.233267
5,9,126.239631
2,5,126.246367
-1,3,126.248531
26,14,126.264713
43,34,126.298176
10,12,126.310013
-3,3,126.315345
-36,4,126.318272
-3,2,126.319722
-6,3,126.321861
-1,5,126.328596
-14,22,126.350294
-11,15,126.367177
