#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
-19,11,59.485656
13,13,59.497255
-19,22,59.517348
-1,8,59.525404
-2,8,59.533454
-7,3,59.535615
-25,10,59.545107
-17,13,59.556695
43,15,59.572375
-7,29,59.600129
3,8,59.608153
-4,6,59.614527
-22,8,59.629056
-33,5,59.635587
-6,1,59.639492
-3,1,59.640753
7,10,59.657905
11,6,59.665032
-2,3,59.672487
18,18,59.695709
7,11,59.711337
4,6,59.722333
-32,2,59.72484
-4,5,59.736625
109,49,59.81224
11,13,59.828737
3,9,59.841749
8,13,59.859423
6,9,59.872325
-3,1,59.873291
-5,1,59.874371
-8,2,59.876194
54,44,59.938229
29,32,59.981205
7,8,59.992327
3,16,60.008133
3,3,60.013126
48,34,60.044937
48,24,60.069695
43,14,60.082238
-511,21,60.101989
20,20,60.121059
20,18,60.138484
-6,1,60.13926
-31,3,60.141491
-33,3,60.14609
1,7,60.151078
13,10,60.160689
-24,18,60.178308
6,10,60.187904
6,8,60.19598
-52,6,60.200253
4,6,60.206893
-6,1,60.207668
-6,1,60.208428
-18,10,60.217827
177,17,60.23652
-5,3,60.23979
4,7,60.248618
-3,1,60.249439
11,11,60.261351
6,7,60.270497
-38,2,60.272114
9,11,60.283957
5,8,60.293627
8,10,60.304441
-3,4,60.308153
16,48,60.360106
-6,1,60.360931
-3,7,60.368451
3,15,60.382576
2,13,60.401828
27,21,60.432207
-5,1,60.433739
11,11,60.451451
4,9,60.465726
22,38,60.528036
13,22,60.561796
-1,6,60.571341
10,24,60.604782
-39,4,60.60996
-34,1,60.611271
-29,8,60.62342
0,7,60.634869
58,41,60.677203
-28,8,61.969236
-6,1,61.970147
14,18,61.990535
5,17,62.007685
10,15,62.025114
-5,2,62.026585
-4,2,62.028771
-5,2,62.033332
3,16,62.047796
-4,3,62.049981
-20,12,62.063381
0,6,62.067659
30,20,62.086998
-3,3,62.091635
-5,3,62.094047
11,22,62.11447
6,14,62.126756
-34,1,62.129946
-27,7,62.134914
-3,3,62.139459
4,10,62.148888
-38,2,62.150373
-3,3,62.152602
6,10,62.162082
-5,1,62.162859
-3,1,62.163611
16,18,62.181072
-3,3,62.183224
-10,20,62.202332
5,12,62.215723
35,23,62.238238
-3,7,62.245726
2,7,62.250713
-5,2,62.25223
60,7,62.259592
8,11,62.269835
-5,6,62.276749
10,10,62.286258
-3,1,62.287033
15,12,62.297916
-2,4,62.303227
3,13,62.314996
-5,1,62.315834
8,20,62.334727
-4,2,62.33624
0,11,62.346352
-3,1,62.347121
-3,3,62.351708
56,7,62.356768
7,14,62.371444
-4,20,62.390365
-6,1,62.391173
-5,1,62.391934
-17,18,62.409261
3,8,62.417256
20,21,62.438059
-1,5,62.441814
0,6,62.449897
31,20,62.470489
-4,6,62.474937
7,16,62.492598
-27,13,62.504314
-3,4,62.509643
0,7,62.514593
5,13,62.528702
10,13,62.541695
3,4,62.54469
1,5,62.550727
-58,3,62.552937
15,31,62.582165
4,5,62.588167
35,39,62.625059
3,12,62.636025
5,8,62.644192
-4,2,62.645666
-3,6,62.649914
-5,3,62.654564
44,19,62.67421
-5,1,62.674991
14,8,62.683059
9,5,62.686659
-6,1,62.687415
-4,2,62.688929
0,5,62.695056
4,6,62.69936
-4,5,62.705415
6,19,62.725277
13,21,62.74512
-1,3,62.747273
3,8,62.755482
-28,12,62.766554
16,18,62.788681
-36,9,62.806916
8,22,62.845126
-1,5,62.854345
-4,2,62.856226
12,12,62.87341
-2,2,62.874998
3,14,62.890033
0,3,62.892298
3,12,62.903181
50,50,62.952935
-5,1,62.953723
0,4,62.959122
16,13,62.970821
-1,10,62.980566
1,7,62.988012
12,6,62.992705
6,7,63.000333
6,7,63.009204
59,5,63.01285
-3,7,63.021273
14,21,63.042132
-14,10,63.051702
26,42,63.092636
-7,26,63.118087
17,20,63.137156
34,39,63.174055
8,7,63.179045
12,13,63.193019
2,6,63.197279
2,11,63.207518
-2,4,63.212985
-7,3,63.215139
48,46,63.260569
-25,9,63.26951
-4,2,63.271011
-18,20,63.291559
21,25,63.314033
-5,1,63.314871
5,11,63.326402
86,30,63.355603
-41,7,63.363704
4,4,63.369353
-8,2,63.370885
-4,8,63.379183
21,15,63.392436
3,10,63.401963
5,6,63.408765
5,4,63.411614
-1,26,63.437566
22,16,63.451277
-3,1,63.452123
-33,2,63.456087
